"id","age_months","age_years","stim_set","highest_count","knower_level","knower_level_cp_subset","trial","set_chosen","count","set_asked","n_bunnies","n_lions","magnitude","trial_ratio","correct_set_chosen","correct_count","count_error","correct_count_approx"
"fd68599c-86df-465c-85f4-d43591d4c755",85,7,1,49,"CP","CP",1,"bunny",3,"bunny",3,1,"small","1-3",1,1,0,1
"fd68599c-86df-465c-85f4-d43591d4c755",85,7,1,49,"CP","CP",2,"lion",7,"lion",6,7,"large","6-7",1,1,0,1
"fd68599c-86df-465c-85f4-d43591d4c755",85,7,1,49,"CP","CP",3,"lion",3,"lion",2,3,"small","2-3",1,1,0,1
"fd68599c-86df-465c-85f4-d43591d4c755",85,7,1,49,"CP","CP",4,"lion",1,"lion",2,1,"small","1-2",1,1,0,1
"fd68599c-86df-465c-85f4-d43591d4c755",85,7,1,49,"CP","CP",5,"lion",7,"lion",5,7,"large","5-7",1,1,0,1
"fd68599c-86df-465c-85f4-d43591d4c755",85,7,1,49,"CP","CP",6,"bunny",8,"bunny",8,5,"large","5-8",1,1,0,1
"7493fe94-8b29-4746-8d32-18ac3aeaaafd",51,4,1,13,"CP","CP",1,"bunny",3,"bunny",3,1,"small","1-3",1,1,0,1
"7493fe94-8b29-4746-8d32-18ac3aeaaafd",51,4,1,13,"CP","CP",2,"bunny",6,"lion",6,7,"large","6-7",0,0,-1,1
"7493fe94-8b29-4746-8d32-18ac3aeaaafd",51,4,1,13,"CP","CP",3,"bunny",2,"bunny",2,3,"small","2-3",1,1,0,1
"7493fe94-8b29-4746-8d32-18ac3aeaaafd",51,4,1,13,"CP","CP",4,"lion",1,"lion",2,1,"small","1-2",1,1,0,1
"7493fe94-8b29-4746-8d32-18ac3aeaaafd",51,4,1,13,"CP","CP",5,"lion",8,"lion",5,7,"large","5-7",1,0,1,1
"7493fe94-8b29-4746-8d32-18ac3aeaaafd",51,4,1,13,"CP","CP",6,"bunny",9,"bunny",8,5,"large","5-8",1,0,1,1
"ff5ec080-5544-4cda-b890-e4e69b8e64f2",40,3,1,10,"4","subset",1,"N/A",3,"bunny",3,1,"small","1-3",0,1,0,1
"ff5ec080-5544-4cda-b890-e4e69b8e64f2",40,3,1,10,"4","subset",2,"N/A",5,"lion",6,7,"large","6-7",0,0,-2,0
"ff5ec080-5544-4cda-b890-e4e69b8e64f2",40,3,1,10,"4","subset",3,"N/A",3,"lion",2,3,"small","2-3",0,1,0,1
"ff5ec080-5544-4cda-b890-e4e69b8e64f2",40,3,1,10,"4","subset",4,"N/A",1,"bunny",2,1,"small","1-2",0,0,-1,1
"ff5ec080-5544-4cda-b890-e4e69b8e64f2",40,3,1,10,"4","subset",5,"N/A",5,"lion",5,7,"large","5-7",0,0,-2,0
"ff5ec080-5544-4cda-b890-e4e69b8e64f2",40,3,1,10,"4","subset",6,"N/A",10,"lion",8,5,"large","5-8",0,0,5,0
"2ab216d3-5ecc-4296-a6be-51d0b9bc86f1",65,5,1,29,"CP","CP",1,"N/A",NA,"bunny",3,1,"small","1-3",0,0,NA,0
"2ab216d3-5ecc-4296-a6be-51d0b9bc86f1",65,5,1,29,"CP","CP",2,"N/A",10,"lion",6,7,"large","6-7",0,0,3,0
"2ab216d3-5ecc-4296-a6be-51d0b9bc86f1",65,5,1,29,"CP","CP",3,"N/A",2,"bunny",2,3,"small","2-3",0,1,0,1
"2ab216d3-5ecc-4296-a6be-51d0b9bc86f1",65,5,1,29,"CP","CP",4,"N/A",1,"lion",2,1,"small","1-2",0,1,0,1
"2ab216d3-5ecc-4296-a6be-51d0b9bc86f1",65,5,1,29,"CP","CP",5,"N/A",10,"lion",5,7,"large","5-7",0,0,3,0
"2ab216d3-5ecc-4296-a6be-51d0b9bc86f1",65,5,1,29,"CP","CP",6,"N/A",5,"lion",8,5,"large","5-8",0,1,0,1
"47b0ad4d-db0e-4055-9e5c-039bd96a6527",70,5,1,49,"CP","CP",1,"lion",1,"lion",3,1,"small","1-3",1,1,0,1
"47b0ad4d-db0e-4055-9e5c-039bd96a6527",70,5,1,49,"CP","CP",2,"bunny",6,"bunny",6,7,"large","6-7",1,1,0,1
"47b0ad4d-db0e-4055-9e5c-039bd96a6527",70,5,1,49,"CP","CP",3,"bunny",2,"bunny",2,3,"small","2-3",1,1,0,1
"47b0ad4d-db0e-4055-9e5c-039bd96a6527",70,5,1,49,"CP","CP",4,"lion",1,"lion",2,1,"small","1-2",1,1,0,1
"47b0ad4d-db0e-4055-9e5c-039bd96a6527",70,5,1,49,"CP","CP",5,"bunny",5,"bunny",5,7,"large","5-7",1,1,0,1
"47b0ad4d-db0e-4055-9e5c-039bd96a6527",70,5,1,49,"CP","CP",6,"lion",5,"lion",8,5,"large","5-8",1,1,0,1
"67a521ee-791d-4625-8cac-65a50405f08e",49,4,1,10,"4","subset",1,"N/A",NA,"lion",3,1,"small","1-3",0,0,NA,0
"67a521ee-791d-4625-8cac-65a50405f08e",49,4,1,10,"4","subset",2,"N/A",NA,"bunny",6,7,"large","6-7",0,0,NA,0
"67a521ee-791d-4625-8cac-65a50405f08e",49,4,1,10,"4","subset",3,"N/A",NA,"lion",2,3,"small","2-3",0,0,NA,0
"67a521ee-791d-4625-8cac-65a50405f08e",49,4,1,10,"4","subset",4,"N/A",NA,"bunny",1,2,"small","1-2",0,0,NA,0
"67a521ee-791d-4625-8cac-65a50405f08e",49,4,1,10,"4","subset",5,"N/A",NA,"bunny",7,5,"large","5-7",0,0,NA,0
"67a521ee-791d-4625-8cac-65a50405f08e",49,4,1,10,"4","subset",6,"N/A",10,"lion",5,8,"large","5-8",0,0,2,0
"929020fa-0b7e-4cef-92fa-b1440515fd95",40,3,1,9,"CP","CP",1,"N/A",NA,"lion",3,1,"small","1-3",0,0,NA,0
"929020fa-0b7e-4cef-92fa-b1440515fd95",40,3,1,9,"CP","CP",2,"N/A",10,"bunny",6,7,"large","6-7",0,0,4,0
"929020fa-0b7e-4cef-92fa-b1440515fd95",40,3,1,9,"CP","CP",3,"N/A",NA,"lion",2,3,"small","2-3",0,0,NA,0
"929020fa-0b7e-4cef-92fa-b1440515fd95",40,3,1,9,"CP","CP",4,"N/A",NA,"bunny",1,2,"small","1-2",0,0,NA,0
"929020fa-0b7e-4cef-92fa-b1440515fd95",40,3,1,9,"CP","CP",5,"N/A",NA,"bunny",7,5,"large","5-7",0,0,NA,0
"929020fa-0b7e-4cef-92fa-b1440515fd95",40,3,1,9,"CP","CP",6,"N/A",NA,"lion",5,8,"large","5-8",0,0,NA,0
